"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"1296","PB03_POTR_M",2008,"PB","PB03","M",NA,NA,NA,NA,2.764,49.804,18.017,70.72358607,"Populus tremuloides","quaking aspen","Salicaceae","broadleaf","early","early hardwood","POTR5","ASD FieldSpec 3","FFT_PB03_POTR_M_2008","FFT",NA,NA,62.0143,NA
"1297","PB03_POTR_T",2008,"PB","PB03","T",NA,NA,NA,NA,2.588,49.69,19.199,81.16721491,"Populus tremuloides","quaking aspen","Salicaceae","broadleaf","early","early hardwood","POTR5","ASD FieldSpec 3","FFT_PB03_POTR_T_2008","FFT",NA,NA,102.13715,NA
"1298","PB04_ACRU_B",2008,"PB","PB04","B",NA,NA,NA,NA,2.076,49.743,23.961,37.35548463,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_PB04_ACRU_B_2008","FFT",NA,NA,58.9713,NA
"1299","PB04_ACRU_T",2008,"PB","PB04","T",NA,NA,NA,NA,2.128,49.738,23.369,50.39044319,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_PB04_ACRU_T_2008","FFT",NA,NA,70.42143,NA
"1300","PB04_PIRE_MN",2008,"PB","PB04","M",NA,NA,NA,NA,1.05,51.017,48.592,210.6034626,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB04_PIRE_MN_2008","FFT","N",NA,373.08479,NA
"1301","PB04_PIRE_MO",2008,"PB","PB04","M",NA,NA,NA,NA,1.169,50.119,42.863,280.4878049,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB04_PIRE_MO_2008","FFT","O",NA,353.20264,NA
"1302","PB04_PIRE_TA",2008,"PB","PB04","T",NA,NA,NA,NA,1.304,51.592,39.56,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT",NA,NA,NA,NA
"1303","PB04_PIRE_TN",2008,"PB","PB04","T",NA,NA,NA,NA,1.238,51.812,43.6615,279.9989338,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB04_PIRE_TN_2008","FFT","N",NA,398.4754,NA
"1304","PB04_PIRE_TO",2008,"PB","PB04","T",NA,NA,NA,NA,1.235,52.528,42.52,328.2353993,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB04_PIRE_TO_2008","FFT","O",NA,368.81764,NA
"1305","PB04_PIST_MN",2008,"PB","PB04","M",NA,NA,NA,NA,1.327,50.774,38.253,150.9701846,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_PB04_PIST_MN_2008","FFT","N",NA,215.33365,NA
"1306","PB04_PIST_MO",2008,"PB","PB04","M",NA,NA,NA,NA,1.192,52.279,43.848,170.5419542,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_PB04_PIST_MO_2008","FFT","O",NA,178.45369,NA
"1307","PB04_PIST_TN",2008,"PB","PB04","T",NA,NA,NA,NA,1.202,50.508,42.026,144.2913642,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_PB04_PIST_TN_2008","FFT","N",NA,189.05646,NA
"1308","PB04_PIST_TO",2008,"PB","PB04","T",NA,NA,NA,NA,1.239,51.568,41.624,176.6171368,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_PB04_PIST_TO_2008","FFT","O",NA,217.99092,NA
"1309","PB05_PIBA_B2",2008,"PB","PB05","B",NA,NA,NA,NA,1.56,53.092,34.038,NA,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT",NA,NA,NA,NA
"1310","PB05_PIBA_BN",2008,"PB","PB05","B",NA,NA,NA,NA,1.444,51.452,35.629,150.9688389,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_BN_2008","FFT","N",NA,299.29939,NA
"1311","PB05_PIBA_BO",2008,"PB","PB05","B",NA,NA,NA,NA,NA,NA,NA,179.5259708,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_BO_2008","FFT","O",NA,271.97848,NA
"1312","PB05_PIBA_M2",2008,"PB","PB05","M",NA,NA,NA,NA,1.382,52.377,37.888,NA,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT",NA,NA,NA,NA
"1313","PB05_PIBA_MN",2008,"PB","PB05","M",NA,NA,NA,NA,1.122,51.236,45.683,136.1810233,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_MN_2008","FFT","N",NA,267.93099,NA
"1314","PB05_PIBA_MO",2008,"PB","PB05","M",NA,NA,NA,NA,NA,NA,NA,180.073679,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_MO_2008","FFT","O",NA,239.18183,NA
"1315","PB05_PIBA_T2",2008,"PB","PB05","T",NA,NA,NA,NA,1.635,51.745,31.64,NA,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT",NA,NA,NA,NA
"1316","PB05_PIBA_TN",2008,"PB","PB05","T",NA,NA,NA,NA,1.342,51.159,38.127,206.022489,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_TN_2008","FFT","N",NA,391.08062,NA
"1317","PB05_PIBA_TO",2008,"PB","PB05","T",NA,NA,NA,NA,NA,NA,NA,201.4615346,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB05_PIBA_TO_2008","FFT","O",NA,281.54562,NA
"1318","PB05_QUEL_B",2008,"PB","PB05","B",NA,NA,NA,NA,2.719,49.631,18.253,57.7095948,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB05_QUEL_B_2008","FFT",NA,NA,73.09882,NA
"1319","PB05_QUEL_T",2008,"PB","PB05","T",NA,NA,NA,NA,3.108,49.645,15.971,82.62780747,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB05_QUEL_T_2008","FFT",NA,NA,107.66654,NA
"1320","PB05_QUMA_B",2008,"PB","PB05","B",-6.1548055415,38.020759155,23.02698333,14.993775825,3.215,51.274,15.948,58.42370225,"Quercus macrocarpa","bur oak","Fagaceae","broadleaf","mid","mid hardwood","QUMA2","ASD FieldSpec 3","FFT_PB05_QUMA_B_2008","FFT",NA,NA,82.83646,NA
"1321","PB05_QUMA_T",2008,"PB","PB05","T",-5.7442793755,45.5071280425,27.341893235,18.16523481,2.706,50.1,18.5125,79.5456577,"Quercus macrocarpa","bur oak","Fagaceae","broadleaf","mid","mid hardwood","QUMA2","ASD FieldSpec 3","FFT_PB05_QUMA_T_2008","FFT",NA,NA,89.73582,NA
"1322","PB06_PIRE_BN",2008,"PB","PB06","B",NA,54.76801508,34.65453091,20.11348417,1.156,48.976,42.365,189.8621239,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_BN_2008","FFT","N",NA,358.31123,NA
"1323","PB06_PIRE_BO",2008,"PB","PB06","B",NA,50.29284042,30.19476,20.09808042,1.1855,51.084,43.1255,236.989401,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_BO_2008","FFT","O",NA,325.59247,NA
"1324","PB06_PIRE_MN",2008,"PB","PB06","M",NA,49.63399199,28.89994008,20.73405191,1.088,49.668,45.654,233.5285505,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_MN_2008","FFT","N",NA,390.43436,NA
"1325","PB06_PIRE_MO",2008,"PB","PB06","M",NA,50.41089204,31.88639456,18.52449748,1.098,52.099,47.458,304.8664626,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_MO_2008","FFT","O",NA,334.10746,NA
"1326","PB06_PIRE_TN",2008,"PB","PB06","T",NA,46.12286493,24.2191009,21.90376403,1.03,50.223,48.762,244.8360288,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_TN_2008","FFT","N",NA,400.81842,NA
"1327","PB06_PIRE_TO",2008,"PB","PB06","T",NA,46.10394316,29.55227045,16.55167271,1.17,51.894,44.361,304.3002675,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_PB06_PIRE_TO_2008","FFT","O",NA,334.21632,NA
"1328","PB06_QUMA_B",2008,"PB","PB06","B",NA,34.63800457,20.33353305,14.30447152,3.116,46.521,14.932,50.74285093,"Quercus macrocarpa","bur oak","Fagaceae","broadleaf","mid","mid hardwood","QUMA2","ASD FieldSpec 3","FFT_PB06_QUMA_B_2008","FFT",NA,NA,67.79578,NA
"1329","PB06_QUMA_M",2008,"PB","PB06","M",NA,NA,NA,NA,NA,NA,NA,62.70069489,"Quercus macrocarpa","bur oak","Fagaceae","broadleaf","mid","mid hardwood","QUMA2",NA,NA,"FFT",NA,NA,80.79343,NA
"1330","PB06_QUMA_T",2008,"PB","PB06","T",NA,NA,NA,NA,3.159,46.744,14.799,63.84448867,"Quercus macrocarpa","bur oak","Fagaceae","broadleaf","mid","mid hardwood","QUMA2","ASD FieldSpec 3","FFT_PB06_QUMA_T_2008","FFT",NA,NA,83.91287,NA
"1331","PB07_COAM_T",2008,"PB","PB07","T",NA,NA,NA,NA,2.761,48.391,17.529,42.11240702,"Corylus americana","American hazelnut","Beulaceae","shrub","shrub","shrub","COAM3","ASD FieldSpec 3","FFT_PB07_COAM_T_2008","FFT",NA,NA,62.28477,NA
"1332","PB07_PIBA_BN",2008,"PB","PB07","B",NA,NA,NA,NA,1.362,50.42,37.031,127.2916203,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_BN_2008","FFT","N",NA,225.63646,NA
"1333","PB07_PIBA_BO",2008,"PB","PB07","B",NA,NA,NA,NA,1.581,52.303,33.076,157.7862353,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_BO_2008","FFT","O",NA,198.62036,NA
"1334","PB07_PIBA_MN",2008,"PB","PB07","M",NA,NA,NA,NA,1.289,51.592,40.023,152.0223917,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_MN_2008","FFT","N",NA,227.21036,NA
"1335","PB07_PIBA_MO",2008,"PB","PB07","M",NA,NA,NA,NA,1.599,52.987,33.134,206.2206658,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_MO_2008","FFT","O",NA,226.64818,NA
"1336","PB07_PIBA_TN",2008,"PB","PB07","T",NA,NA,NA,NA,1.472,51.209,34.779,175.6676033,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_TN_2008","FFT","N",NA,289.82942,NA
"1337","PB07_PIBA_TO",2008,"PB","PB07","T",NA,NA,NA,NA,1.516,52.878,34.877,212.4958864,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB07_PIBA_TO_2008","FFT","O",NA,245.87467,NA
"1338","PB08_COAM_T",2008,"PB","PB08","T",NA,NA,NA,NA,2.216,47.973,21.644,57.2936698,"Corylus americana","American hazelnut","Beulaceae","shrub","shrub","shrub","COAM3","ASD FieldSpec 3","FFT_PB08_COAM_T_2008","FFT",NA,NA,75.38641,NA
"1339","PB08_PIBA_BN",2008,"PB","PB08","B",NA,NA,NA,NA,1.321,50.746,38.418,149.6365968,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_BN_2008","FFT","N",NA,271.91107,NA
"1340","PB08_PIBA_BO",2008,"PB","PB08","B",NA,NA,NA,NA,1.698,52.901,31.15,184.2928661,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_BO_2008","FFT","O",NA,216.83354,NA
"1341","PB08_PIBA_MN",2008,"PB","PB08","M",NA,NA,NA,NA,1.125,51.294,45.577,154.0701908,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_MN_2008","FFT","N",NA,259.50197,NA
"1342","PB08_PIBA_MO",2008,"PB","PB08","M",NA,NA,NA,NA,1.529,52.784,34.53,178.7882467,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_MO_2008","FFT","O",NA,229.17678,NA
"1343","PB08_PIBA_TN",2008,"PB","PB08","T",NA,NA,NA,NA,1.09,50.889,46.7,167.18507,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_TN_2008","FFT","N",NA,290.70463,NA
"1344","PB08_PIBA_TO",2008,"PB","PB08","T",NA,NA,NA,NA,1.593,52.614,33.024,199.1032753,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB08_PIBA_TO_2008","FFT","O",NA,235.58021,NA
"1345","PB08_QURU_B",2008,"PB","PB08","B",NA,NA,NA,NA,3.027,48.707,16.093,59.06135108,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_PB08_QURU_B_2008","FFT",NA,NA,77.25807,NA
"1346","PB08_QURU_T",2008,"PB","PB08","T",NA,NA,NA,NA,3.465,49.847,14.387,63.22060115,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_PB08_QURU_T_2008","FFT",NA,NA,82.35315,NA
"1347","PB09_PIBA_BN",2008,"PB","PB09","B",NA,NA,NA,NA,1.122,48.354,43.101,148.4013506,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT","N",NA,272.62495,NA
"1348","PB09_PIBA_BO",2008,"PB","PB09","B",NA,54.94319143,34.80874601,20.13444542,1.393,50.206,36.031,208.7513755,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB09_PIBA_BO_2008","FFT","O",NA,281.89527,NA
"1349","PB09_PIBA_MN",2008,"PB","PB09","M",NA,49.3086146,30.23579704,19.07281756,1.259,49.123,39.021,175.1353467,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB09_PIBA_MN_2008","FFT","N",NA,298.74111,NA
"1350","PB09_PIBA_MO",2008,"PB","PB09","M",NA,54.77386576,35.06204831,19.71181745,1.459,50.532,34.633,226.9706234,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB09_PIBA_MO_2008","FFT","O",NA,278.47933,NA
"1351","PB09_PIBA_TN",2008,"PB","PB09","T",NA,47.7770985,33.50476381,14.27233469,1.25,48.189,38.563,193.1485825,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB09_PIBA_TN_2008","FFT","N",NA,328.67113,NA
"1352","PB09_PIBA_TO",2008,"PB","PB09","T",NA,51.24039972,33.4175165,17.82288323,1.466,50.417,34.392,240.3662724,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB09_PIBA_TO_2008","FFT","O",NA,302.87911,NA
"1353","PB10_PIBA_BN",2008,"PB","PB10","B",NA,NA,NA,NA,1.113,50.827,45.669,158.8570634,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT","N",NA,322.23304,NA
"1354","PB10_PIBA_BO",2008,"PB","PB10","B",NA,NA,NA,NA,1.446,52.212,36.096,200.5899705,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT","O",NA,278.07276,NA
"1355","PB10_PIBA_MN",2008,"PB","PB10","M",NA,NA,NA,NA,1.257,50.893,40.478,177.9581642,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB10_PIBA_MN_2008","FFT","N",NA,324.6956,NA
"1356","PB10_PIBA_MO",2008,"PB","PB10","M",NA,NA,NA,NA,1.465,52.348,35.734,222.2677036,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB10_PIBA_MO_2008","FFT","O",NA,281.62096,NA
"1357","PB10_PIBA_TN",2008,"PB","PB10","T",NA,NA,NA,NA,1.233,50.564,40.998,174.0028398,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB10_PIBA_TN_2008","FFT","N",NA,305.40855,NA
"1358","PB10_PIBA_TO",2008,"PB","PB10","T",NA,NA,NA,NA,1.527,52.691,34.503,239.7824338,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB10_PIBA_TO_2008","FFT","O",NA,274.25595,NA
"1359","PB11_PIBA_BN",2008,"PB","PB11","B",NA,53.94485209,34.75376623,19.19108586,1.301,48.941,37.615,146.3979117,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_BN_2008","FFT","N",NA,261.04039,NA
"1360","PB11_PIBA_BO",2008,"PB","PB11","B",NA,NA,NA,NA,1.402,49.6145,35.481,162.9270493,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_BO_2008","FFT","O",NA,219.30319,NA
"1361","PB11_PIBA_MN",2008,"PB","PB11","M",NA,50.59168356,32.93864908,17.65303448,1.53,50.07,32.735,153.8555967,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_MN_2008","FFT","N",NA,245.92344,NA
"1362","PB11_PIBA_MO",2008,"PB","PB11","M",NA,52.13605614,32.45453818,19.68151796,NA,NA,NA,165.4556835,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_MO_2008","FFT","O",NA,320.02612,NA
"1363","PB11_PIBA_TN",2008,"PB","PB11","T",NA,51.64902676,31.37893685,20.27008991,1.353,49.035,36.24,172.3296231,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_TN_2008","FFT","N",NA,286.56512,NA
"1364","PB11_PIBA_TO",2008,"PB","PB11","T",NA,48.60102012,31.5331599,17.06786023,1.586,50.423,31.795,223.712319,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB11_PIBA_TO_2008","FFT","O",NA,268.51412,NA
"1365","PB11_QUEL_B",2008,"PB","PB11","B",-5.8157128555,38.03239352,17.31653669,20.71585683,2.95,50.397,17.085,54.6941385,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB11_QUEL_B_2008","FFT",NA,NA,74.65854,NA
"1366","PB11_QUEL_M",2008,"PB","PB11","M",-6.638915459,37.857285625,21.237257645,16.620027985,3.011,51.153,16.987,82.10616727,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB11_QUEL_M_2008","FFT",NA,NA,94.10389,NA
"1367","PB11_QUEL_T",2008,"PB","PB11","T",-5.414251985,40.6076642625,23.271604065,17.3360602,3.135,51.022,16.275,78.45468588,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB11_QUEL_T_2008","FFT",NA,NA,91.60002,NA
"1368","PB12_ACRU_B",2008,"PB","PB12","B",-4.3607848325,32.15070957,16.84989007,15.30081951,1.875,50.933,27.166,44.02643277,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_PB12_ACRU_B_2008","FFT",NA,NA,60.61459,NA
"1369","PB12_ACRU_M",2008,"PB","PB12","M",-4.468585213,31.106553925,15.807991275,15.29856265,2.15,51.915,24.144,45.75175084,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_PB12_ACRU_M_2008","FFT",NA,NA,64.8843,NA
"1370","PB12_ACRU_T",2008,"PB","PB12","T",-4.598734489,33.9304941125,18.2392631125,15.691231,2.677,50.834,18.986,50.84683218,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_PB12_ACRU_T_2008","FFT",NA,NA,66.23606,NA
"1371","PB12_PRSE_T",2008,"PB","PB12","T",NA,33.01789591,17.09744,15.92045591,NA,NA,NA,NA,"Prunus serotina","Black cherry","Rosaceae","broadleaf","early","early hardwood","PRSE2",NA,NA,"FFT",NA,NA,NA,NA
"1372","PB12_PRUNUS_T",2008,"PB","PB12","T",NA,NA,NA,NA,2.75,46.306,16.841,43.15221954,"Prunus","cherry","Rosaceae","broadleaf","early","early hardwood","?PRUNUS","ASD FieldSpec 3","FFT_PB12_PRUNUS_T_2008","FFT",NA,NA,78.92177,NA
"1373","PB12_QUEL_B",2008,"PB","PB12","B",-2.6712429265,33.886215105,15.484414165,18.40180094,2.935,50.046,17.05,61.03699486,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB12_QUEL_B_2008","FFT",NA,NA,77.674,NA
"1374","PB12_QUEL_M",2008,"PB","PB12","M",-2.8817553325,36.6968065166667,20.6404497,16.0563568166667,3.347,49.8966666666667,14.9086666666667,68.523645,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB12_QUEL_M_2008","FFT",NA,NA,87.34425,NA
"1375","PB12_QUEL_T",2008,"PB","PB12","T",-2.979120652,31.37704077,16.2037882125,15.1732525575,2.982,50.417,16.907,90.04776414,"Quercus ellipsoidalis","northern pin oak","Fagaceae","broadleaf","mid","mid hardwood","QUEL","ASD FieldSpec 3","FFT_PB12_QUEL_T_2008","FFT",NA,NA,113.33956,NA
"1376","PB13_PIBA_BN",2008,"PB","PB13","B",NA,NA,NA,NA,1.433,50.702,35.383,164.8858483,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2",NA,NA,"FFT","N",NA,306.32639,NA
"1377","PB13_PIBA_BO",2008,"PB","PB13","B",NA,NA,NA,NA,1.599,52.741,32.98,138.485593,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB13_PIBA_BO_2008","FFT","O",NA,175.89904,NA
"1378","PB13_PIBA_MN",2008,"PB","PB13","M",NA,NA,NA,NA,1.35,50.591,37.475,169.9029126,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB13_PIBA_MN_2008","FFT","N",NA,304.18102,NA
"1379","PB13_PIBA_MO",2008,"PB","PB13","M",NA,NA,NA,NA,1.661,52.685,31.721,215.7926462,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB13_PIBA_MO_2008","FFT","O",NA,291.34016,NA
"1380","PB13_PIBA_TN",2008,"PB","PB13","T",NA,NA,NA,NA,1.595,50.796,31.839,216.0873022,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB13_PIBA_TN_2008","FFT","N",NA,354.6048,NA
"1381","PB13_PIBA_TO",2008,"PB","PB13","T",NA,NA,NA,NA,1.701,52.896,31.102,230.1445458,"Pinus banksiana","jack pine","Pinaceae","conifer","early","north pine","PIBA2","ASD FieldSpec 3","FFT_PB13_PIBA_TO_2008","FFT","O",NA,287.21036,NA
"1382","PM01_ACSM_B",2009,"PM","PM01","B",NA,NA,NA,NA,2.53,46.593,18.413,26.24195636,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_PM01_ACSM_B_2009","FFT",NA,NA,43.49264,NA
"1383","PM01_ACSM_M",2009,"PM","PM01","M",NA,NA,NA,NA,2.499,47.4,18.965,33.66497988,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_PM01_ACSM_M_2009","FFT",NA,NA,52.79756,NA
"1384","PM01_ACSM_T",2009,"PM","PM01","T",NA,NA,NA,NA,2.008,48.357,24.085,66.49356274,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_PM01_ACSM_T_2009","FFT",NA,NA,87.08984,NA
"1385","PM01_FRNI_B",2009,"PM","PM01","B",NA,NA,NA,NA,NA,NA,NA,19.75987949,"Fraxinus nigra","black ash","Oleaceae","broadleaf","mid","mid hardwood","FRNI","ASD FieldSpec 3","FFT_PM01_FRNI_B_2009","FFT",NA,NA,64.61167,NA
"1386","PM01_FRNI_M",2009,"PM","PM01","M",NA,NA,NA,NA,2.712,44.515,16.413,37.42876645,"Fraxinus nigra","black ash","Oleaceae","broadleaf","mid","mid hardwood","FRNI","ASD FieldSpec 3","FFT_PM01_FRNI_M_2009","FFT",NA,NA,86.25344,NA
"1387","PM01_FRNI_T",2009,"PM","PM01","T",NA,NA,NA,NA,NA,NA,NA,48.19737802,"Fraxinus nigra","black ash","Oleaceae","broadleaf","mid","mid hardwood","FRNI","ASD FieldSpec 3","FFT_PM01_FRNI_T_2009","FFT",NA,NA,94.40831,NA
"1388","PM01_FRPE_B",2009,"PM","PM01","B",NA,NA,NA,NA,3.071,45.405,14.784,19.13258173,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE","ASD FieldSpec 3","FFT_PM01_FRPE_B_2009","FFT",NA,NA,54.784,NA
"1389","PM01_FRPE_M",2009,"PM","PM01","M",NA,NA,NA,NA,NA,NA,NA,38.05606421,"Fraxinus pennsylvanica","green ash","Oleaceae","broadleaf","mid","mid hardwood","FRPE","ASD FieldSpec 3","FFT_PM01_FRPE_M_2009","FFT",NA,NA,76.63488,NA
